,model,score_test,accuracy,balanced_accuracy,mcc,f1,precision,recall,roc_auc,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetFastAI_BAG_L1,0.6666666666666666,0.6666666666666666,0.6727272727272727,0.35527985620321373,0.6956521739130435,0.6153846153846154,0.8,0.7818181818181819,0.8433734939759037,accuracy,0.1906275749206543,0.18672800064086914,10.100075244903564,0.1906275749206543,0.18672800064086914,10.100075244903564,1,True,10
1,WeightedEnsemble_L2,0.6666666666666666,0.6666666666666666,0.6681818181818182,0.33636363636363636,0.6666666666666666,0.6363636363636364,0.7,0.7363636363636364,0.891566265060241,accuracy,0.4085843563079834,0.32756948471069336,78.16350865364075,0.0020003318786621094,0.0009992122650146484,0.13491511344909668,2,True,14
2,NeuralNetTorch_BAG_L1,0.6666666666666666,0.6666666666666666,0.6727272727272727,0.35527985620321373,0.6956521739130435,0.6153846153846154,0.8,0.7363636363636363,0.7469879518072289,accuracy,4.582992076873779,8.507950782775879,11.478347539901733,4.582992076873779,8.507950782775879,11.478347539901733,1,True,12
3,RandomForestGini_BAG_L1,0.6190476190476191,0.6190476190476191,0.6181818181818182,0.23636363636363636,0.6,0.6,0.6,0.6499999999999999,0.6385542168674698,accuracy,0.041747331619262695,0.10718131065368652,0.9865450859069824,0.041747331619262695,0.10718131065368652,0.9865450859069824,1,True,5
4,LightGBMXT_BAG_L1,0.6190476190476191,0.6190476190476191,0.6181818181818182,0.23636363636363636,0.6,0.6,0.6,0.6272727272727273,0.7831325301204819,accuracy,0.10472750663757324,0.13839435577392578,3.6299304962158203,0.10472750663757324,0.13839435577392578,3.6299304962158203,1,True,3
5,LightGBMLarge_BAG_L1,0.6190476190476191,0.6190476190476191,0.6227272727272727,0.24771684715343112,0.6363636363636364,0.5833333333333334,0.7,0.6818181818181818,0.7831325301204819,accuracy,0.10909438133239746,0.0847475528717041,41.96335959434509,0.10909438133239746,0.0847475528717041,41.96335959434509,1,True,13
6,CatBoost_BAG_L1,0.6190476190476191,0.6190476190476191,0.6227272727272727,0.24771684715343112,0.6363636363636364,0.5833333333333334,0.7,0.6636363636363638,0.7590361445783133,accuracy,0.660036563873291,0.6095013618469238,108.45270037651062,0.660036563873291,0.6095013618469238,108.45270037651062,1,True,7
7,ExtraTreesGini_BAG_L1,0.5714285714285714,0.5714285714285714,0.5772727272727273,0.1589409883014377,0.6086956521739131,0.5384615384615384,0.7,0.6363636363636364,0.6024096385542169,accuracy,0.03912162780761719,0.10336971282958984,1.145599365234375,0.03912162780761719,0.10336971282958984,1.145599365234375,1,True,8
8,LightGBM_BAG_L1,0.5714285714285714,0.5714285714285714,0.5681818181818181,0.13762047064079508,0.5263157894736842,0.5555555555555556,0.5,0.6,0.7951807228915663,accuracy,0.09913444519042969,0.1106424331665039,8.626824855804443,0.09913444519042969,0.1106424331665039,8.626824855804443,1,True,4
9,ExtraTreesEntr_BAG_L1,0.5238095238095238,0.5238095238095238,0.5272727272727272,0.05504818825631803,0.5454545454545454,0.5,0.6,0.6727272727272727,0.6265060240963856,accuracy,0.038344621658325195,0.09252047538757324,1.020796775817871,0.038344621658325195,0.09252047538757324,1.020796775817871,1,True,9
10,RandomForestEntr_BAG_L1,0.5238095238095238,0.5238095238095238,0.5318181818181817,0.06741998624632421,0.5833333333333334,0.5,0.7,0.6727272727272728,0.6385542168674698,accuracy,0.05060172080993652,0.1047050952911377,1.00999116897583,0.05060172080993652,0.1047050952911377,1.00999116897583,1,True,6
11,XGBoost_BAG_L1,0.5238095238095238,0.5238095238095238,0.5227272727272727,0.045454545454545456,0.5,0.5,0.5,0.7090909090909091,0.7831325301204819,accuracy,0.10686206817626953,0.05509471893310547,25.965158700942993,0.10686206817626953,0.05509471893310547,25.965158700942993,1,True,11
12,KNeighborsUnif_BAG_L1,0.47619047619047616,0.47619047619047616,0.49090909090909096,-0.023124864503144014,0.5925925925925926,0.47058823529411764,0.8,0.5636363636363636,0.5060240963855421,accuracy,0.022958993911743164,0.02964949607849121,0.17012548446655273,0.022958993911743164,0.02964949607849121,0.17012548446655273,1,True,1
13,KNeighborsDist_BAG_L1,0.47619047619047616,0.47619047619047616,0.49090909090909096,-0.023124864503144014,0.5925925925925926,0.47058823529411764,0.8,0.6045454545454545,0.5060240963855421,accuracy,0.024785995483398438,0.022096633911132812,0.17295265197753906,0.024785995483398438,0.022096633911132812,0.17295265197753906,1,True,2
